Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address,City,State,Zip Code,Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
8409400016,81ST ARMY RESERVE COMMAND HISTORICAL HOLDING,81ST ARMY RESERVE COMMAND HISTORICAL HOLDING,,GENERAL MUSEUM,,255 WEST OXMOOR ROAD,BIRMINGHAM,AL,35209,,33.43981,-86.84269,1,73,1,3,,,,
8400100163,AFRICAN AMERICAN HERITAGE TRAIL,FRIENDS OF AFRICAN AMERICAN HERITAGE TRAIL INC,,GENERAL MUSEUM,,PO BOX 1827,MOBILE,AL,36633,2515332174,30.68582,-88.04614,1,97,1,3,271720928,201312,0,0
8409501195,AIR FORCE ENLISTED HERITAGE RESEARCH INSTITUTE/HERITAGE HALL,AIR FORCE ENLISTED HERITAGE RESEARCH INSTITUTE/HERITAGE HALL,,HISTORY MUSEUM,,550 MCDONALD STREET,MONTGOMERY,AL,36114,,32.40461,-86.25406,4,101,1,3,,,,
8409500238,ALABAMA AGRICULTURAL MUSEUM,ALABAMA AGRICULTURAL MUSEUM,,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,430 LANDMARK DR,DOTHAN,AL,36303,3346711078,31.27931,-85.37361,4,69,1,3,,,,
8409501196,ALABAMA ARCHAEOLOGICAL SOCIETY,ALABAMA ARCHAEOLOGICAL SOCIETY,,HISTORY MUSEUM,,719 TREMONT ST,SELMA,AL,36701,,32.41318,-87.02711,4,47,1,3,,,,
8409501296,ALABAMA CATTLEMAN'S ASSOCIATION MUSEUM申,ALABAMA CATTLEMAN'S ASSOCIATION MUSEUM申,,GENERAL MUSEUM,,201 S BAINBRIDGE STREET,MONTGOMERY,AL,36102,3342651867,32.37535,-86.30106,1,101,1,3,,,,
8400100155,ALABAMA CENTER FOR AMERICAN HISTORY,ALABAMA CENTER FOR AMERICAN HISTORY INC,,HISTORY MUSEUM,,928 HARGIS DR,CHELSEA,AL,35043,,33.35966,-86.59573,4,117,1,3,263936733,201206,312533,312533
8409501297,ALABAMA CENTER FOR TRADITIONAL CULTURE,ALABAMA CENTER FOR TRADITIONAL CULTURE,,GENERAL MUSEUM,,201 MONROE STREET,MONTGOMERY,AL,36130,3342424076,32.37878,-86.30628,1,101,1,3,,,,
8400100381,ALABAMA CONSTITUTION VILLAGE FOUNDATION,ALABAMA CONSTITUTION VILLAGE FOUNDATION,,GENERAL MUSEUM,,404 MADISON ST SE,HUNTSVILLE,AL,35801,2565648100,34.72861,-86.58469,1,89,1,3,631182396,201409,1101454,806811
8409501299,ALABAMA FAN CLUB AND MUSEUM,ALABAMA FAN CLUB AND MUSEUM,,GENERAL MUSEUM,,101 GLENN BOULEVARD SW,FORT PAYNE,AL,35967,,34.43359,-85.72543,3,49,1,3,,,,
8400100086,ALABAMA FOLK ART MUSEUM,ALABAMA FOLK ART MUSEUM,,ART MUSEUM,,1731 1ST AVE N,BIRMINGHAM,AL,35203,2053214929,33.51275,-86.80921,1,73,1,3,,,,
8409501300,ALABAMA HUMANITIES FOUNDATION,ALABAMA HUMANITIES FOUNDATION,,GENERAL MUSEUM,,1100 IRELAND WAY SUITE #202,BIRMINGHAM,AL,35205,2055583980,33.50116,-86.79191,1,73,1,3,,,,
8409501301,ALABAMA INDIAN AFFAIRS COMMISSION,ALABAMA INDIAN AFFAIRS COMMISSION,,GENERAL MUSEUM,,771 SOUTH LAWRENCE STREET  SUITE 106申申申申申,MONTGOMERY,AL,36130,3342422831,32.36698,-86.3057,1,101,1,3,,,,
8400100298,ALABAMA JAZZ HALL OF FAME,ALABAMA JAZZ HALL OF FAME INC,ALABAMA JAZZ HALL OF FAME,GENERAL MUSEUM,,1631 4TH AVE N,BIRMINGHAM,AL,35203,,33.51458,-86.81283,1,73,1,3,630870612,201306,369221,368247
8409501302,ALABAMA JUDICIAL DEPARTMENT MUSEUM,ALABAMA JUDICIAL DEPARTMENT MUSEUM,,GENERAL MUSEUM,,300 DEXTER AVENUE,MONTGOMERY,AL,36130,3342424347,32.37744,-86.30496,1,101,1,3,,,,
8400100208,ALABAMA LABOR ARCHIVES AND HISTORY,ALABAMA LABOR ARCHIVES AND HISTORY,,HISTORY MUSEUM,,435 S MCDONOUGH ST,MONTGOMERY,AL,36104,3348345136,32.37285,-86.30467,1,101,1,3,470855579,201409,0,0
8400100371,ALABAMA MENS HALL OF FAME,ALABAMA MENS HALL OF FAME AN ELEEMOSYNARY CORP,,GENERAL MUSEUM,,1125 E COLLINWOOD CIR,OPELIKA,AL,36801,2057262362,33.46411,-86.78814,2,73,1,3,631153400,201409,7618,7618
8400100286,ALABAMA MINING MUSEUM,ALABAMA MINING MUSEUM,ALABAMA MINING MUSEUM,HISTORY MUSEUM,,120 EAST ST,DORA,AL,35062,2056482442,33.73169,-87.09091,4,127,1,3,630840041,201409,62187,62187
8409501098,ALABAMA MUSEUM OF NATURAL HISTORY,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ALABAMA,,NATURAL HISTORY MUSEUM,UNIVERSITY OF ALABAMA,427 6TH AVENUE NORTHEAST,TUSCALOOSA,AL,35487,2053487550,33.20939,-87.54843,4,125,1,3,636001138,201309,,
8409500239,ALABAMA MUSEUM OF THE HEALTH SCIENCES,ALABAMA MUSEUM OF THE HEALTH SCIENCES,,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,UNIVERSITY OF ALABAMA AT BIRMINGHAM,1720 2ND AVENUE SOUTH,BIRMINGHAM,AL,35294,2059344475,33.50142,-86.80725,1,73,1,3,636005396,,,
8409501303,ALABAMA MUSIC HALL OF FAME,ALABAMA MUSIC HALL OF FAME,,GENERAL MUSEUM,,617 HIGHWAY 72 WEST,TUSCUMBIA,AL,35674,2563814417,34.71624,-87.69496,2,33,1,3,,,,
8400100113,ALABAMA NEGRO LEAGUE BASEBALL MUSEUM FOUNDATION,ALABAMA NEGRO LEAGUE BASEBALLMUSEUM FOUNDATION,,GENERAL MUSEUM,,PO BOX 12524,BIRMINGHAM,AL,35202,,33.51634,-86.80581,1,73,1,3,205655870,201412,0,0
8400100172,ALABAMA RIVER REGION ARTS CENTER,ALABAMA RIVER REGION ARTS CENTER,,ART MUSEUM,,300 W TALLASSEE ST,WETUMPKA,AL,36092,3345789485,32.59985,-86.20616,4,51,1,3,273480154,201412,0,0
8409501304,ALABAMA RURAL HERITAGE CENTER,ALABAMA RURAL HERITAGE CENTER,,GENERAL MUSEUM,,133 SIXTH AVENUE,THOMASTON,AL,36783,3346273388,32.25179,-87.61395,4,,1,3,,,,
8400100120,ALABAMA SPORTS HALL OF FAME,ALABAMA SPORTS HALL OF FAME,,GENERAL MUSEUM,,2150 ARRINGTON BLVD N,BIRMINGHAM,AL,35203,2053236665,33.52522,-86.81047,1,73,1,3,237013282,201409,586834,488198
8400100182,ALABAMA VETERANS MUSEUM & ARCHIVES,ALABAMA VETERANS MUSEUM & ARCHIVES,,HISTORY MUSEUM,,PO BOX 549,ATHENS,AL,35612,2567717578,34.80672,-86.97072,3,83,1,3,311624974,201407,126728,118567
8409501305,ALABAMA WOMEN'S HALL OF FAME,ALABAMA WOMEN'S HALL OF FAME,,GENERAL MUSEUM,,302 BIBB STREET,MARION,AL,36756,3346835156,32.63066,-87.31662,4,105,1,3,,,,
8409501307,ALBERTVILLE MUSEUM,ALBERTVILLE MUSEUM,,GENERAL MUSEUM,,610 WEST MAIN STREET,ALBERTVILLE,AL,35950,2568780605,34.26948,-86.21514,3,95,1,3,,,,
8409501309,ALDRICH COAL MINE MUSEUM,ALDRICH COAL MINE MUSEUM,,GENERAL MUSEUM,,137 HIGHWAY 203,MONTEVALLO,AL,35115,2056652886,33.10796,-86.89296,2,117,1,3,,,,
8400100346,ALICEVILLE MUSEUM,ALICEVILLE MUSEUM INC,ALICEVILLE MUSEUM,HISTORY MUSEUM,,104 BROAD ST PLAZA,ALICEVILLE,AL,35442,2053732363,33.12964,-88.16462,4,107,1,3,631103657,201312,72827,72827
8400100244,ALTAMONT SCHOOL,ALTAMONT SCHOOL,,ART MUSEUM,,4801 ALTAMONT RD S,BIRMINGHAM,AL,35222,2058792006,33.51706,-86.75704,1,73,1,3,630302110,201406,6812202,6772233
8400100376,AMERICAN INDIAN MUSEUM,AMERICAN INDIAN MUSEUM,,NATURAL HISTORY MUSEUM,,2003 POOLE DRIVE,HUNTSVILLE,AL,35810,,34.75987,-86.59152,1,89,1,3,631163085,201212,0,0
8409501314,AMERICAN SPORT ART MUSEUM AND ARCHIVES,AMERICAN SPORT ART MUSEUM AND ARCHIVES,,ART MUSEUM,,1 ACADEMY DR,DAPHNE,AL,36526,2516263303,30.63977,-87.9091,1,3,1,3,,,,
8400100199,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,,HISTORY MUSEUM,,1410 WATER AVE,SELMA,AL,36703,3344184889,32.40797,-87.01614,3,47,1,3,452068398,201312,0,0
8409501317,ANNISTON SOIL PIPE MUSEUM,ANNISTON SOIL PIPE MUSEUM,,GENERAL MUSEUM,,NOBLE STREET,ANNISTON,AL,36201,,33.65864,-85.85943,2,15,1,3,,,,
8409501327,ARMY AVIATION MUSEUM,ARMY AVIATION MUSEUM,,GENERAL MUSEUM,,NOVOSEL ST,FORT RUCKER,AL,36362,3345982508,31.34936,-85.71978,3,45,1,3,,,,
8409502729,ART GALLERIES AT UAH,ART GALLERIES AT UAH,,ART MUSEUM,,WILSON HALL 160 B,HUNTSVILLE,AL,35899,2568246114,34.74054,-86.62928,4,89,1,3,,,,
8409502760,ART GALLERY,ART GALLERY,,ART MUSEUM,UNIVERSITY OF MONTEVALLO,STATION 6001,MONTEVALLO,AL,35115,2056656400,33.10622,-86.85865,2,,1,3,636000720,,,
8400100141,BALDWIN COUNTY EXPRESS,BALDWIN COUNTY EXPRESS INC,,HISTORY MUSEUM,,19432 RADA ROAD,SUMMERDALE,AL,36580,2512691593,30.50572,-87.60636,4,3,1,3,261631003,201412,0,0
8400100282,BALDWIN HERITAGE MUSEUM ASSOCIATION,BALDWIN HERITAGE MUSEUM ASSOCIATION INC,,GENERAL MUSEUM,,PO BOX 356,ELBERTA,AL,36530,2519868375,30.39654,-87.56298,4,,1,3,630815980,201312,63718,56883
8400100358,BARBER VINTAGE MOTORSPORT MUSEUM,BARBER VINTAGE MOTORSPORT MUSEUM,,GENERAL MUSEUM,,6030 BARBER MOTORSPORTS PARKWAY,BIRMINGHAM,AL,35094,2056997275,33.50171,-86.62444,4,73,1,3,631125485,201312,5329649,
8400100095,BARE HANDS GALLERY,BARE HANDS GALLERY INC,,ART MUSEUM,,PO BOX 13961,BIRMINGHAM,AL,35202,,33.51634,-86.80581,1,73,1,3,201162009,201312,54487,54487
8400100150,BAYBEARS CHARITIES,BAYBEARS CHARITIES INC,,GENERAL MUSEUM,,755 BOLLING BROTHERS BLVD,MOBILE,AL,36606,,30.64483,-88.11585,1,97,1,3,263196982,201312,21702,13548
8400100088,BERMAN MUSEUM OF WORLD HISTORY,FARLEY L BERMAN FOUNDATION INC,,GENERAL MUSEUM,,840 MUSEUM DR,ANNISTON,AL,36202,2562376766,33.65842,-85.82646,1,15,1,3,631082554,201409,150662,143128
8400100127,BESSEMER HALL OF HISTORY,BESSEMER HALL OF HISTORY INC,,HISTORY MUSEUM,,1905 ALABAMA AVE,BESSEMER,AL,35020,2054261633,33.40094,-86.95051,2,73,1,3,237113175,201312,9281,8783
8400100194,BIRMINGHAM BLACK RADIO MUSEUM,BIRMINGHAM BLACK RADIO MUSEUM,,GENERAL MUSEUM,,1623 12TH STREET SOUTH,BIRMINGHAM,AL,35205,,33.49047,-86.80692,1,73,1,3,412131470,201412,0,0
8400100094,BIRMINGHAM HISTORY CENTER,BIRMINGHAM HISTORY CENTER,,HISTORY MUSEUM,,1731 1ST AVE N STE 120,BIRMINGHAM,AL,35203,2052024146,33.51496,-86.80949,1,73,1,3,200889261,201312,188366,188366
8400100124,BIRMINGHAM MUSEUM OF ART,BIRMINGHAM MUSEUM OF ART MEMBERS,BIRMINGHAM MUSEUM OF ART MEMBERS,ART MUSEUM,,2000 8TH AVENUE NORTH,BIRMINGHAM,AL,35203,2052542565,33.52206,-86.80939,1,73,1,3,237077565,201406,25404,25404
8400100201,BLACK BELT MUSEUM,FRIENDS OF THE@BLACK BELT MUSEUM,,GENERAL MUSEUM,,UWA STATION 45,LIVINGSTON,AL,35470,2056523828,32.73363,-88.1937,4,119,1,3,452905587,201412,0,0
8409501200,BLACK HISTORY MUSEUM AND RESEARCH LIBRARY,BLACK HISTORY MUSEUM AND RESEARCH LIBRARY,,HISTORY MUSEUM,BISHOP STATE COMMUNITY COLLEGE,351 NORTH BROAD STREET,MOBILE,AL,36603,2514057000,30.69402,-88.05621,4,97,1,3,630507477,,,
8400100140,BLUE AND GREY MUSEUM OF NORTH ALABAMA,BLUE AND GREY MUSEUM OF NORTH ALABAMA,,HISTORY MUSEUM,,723 BANK ST NW,DECATUR,AL,35601,2563504018,34.59053,-86.98777,1,103,1,3,261445870,201312,34828,34828
8400100319,BRIDGEPORT AREA HISTORIC ASSOCIATION,BRIDGEPORT AREA HISTORIC ASSOCIATION,,HISTORY MUSEUM,,PO BOX 949,BRIDGEPORT,AL,35740,2564954020,34.94947,-85.71959,3,71,1,3,630968833,201312,8095,8095
8400100295,BURRITT MUSEUM,BURRITT MUSEUM ASSOCIATION INC,,HISTORY MUSEUM,,3101 BURRITT DR SE,HUNTSVILLE,AL,35801,2565362882,34.72003,-86.53769,1,89,1,3,630868992,201309,1423105,1252295
8409501361,BURRITT ON THE MOUNTAIN,BURRITT ON THE MOUNTAIN,,GENERAL MUSEUM,,3101 BURRITT DRIVE,HUNTSVILLE,AL,35801,2565120144,34.72003,-86.53769,1,89,1,3,,,,
8400100098,CALHOUN COUNTY SPORTS HALL OF FAME,CALHOUN COUNTY SPORTS HALL OF FAME,,GENERAL MUSEUM,,PO BOX 729,JACKSONVILLE,AL,36265,,33.82798,-85.78071,4,15,1,3,201689780,201112,28050,28050
8409504170,CALHOUN FINE ARTS GALLERY,THE CALHOUN FINE ARTS GALLERY,,ART MUSEUM,,6250 HWY. 31 NORTH,TANNER,AL,35671,2563062695,34.64853,-86.95033,4,83,1,3,,,,
8409502904,CALHOUN FINE ARTS GALLERY,CALHOUN FINE ARTS GALLERY,,ART MUSEUM,JOHN C CALHOUN STATE COMMUNITY COLLEGE,102 WYNN DR NW,HUNTSVILLE,AL,35805,2563062695,34.71426,-86.65576,1,89,1,3,630505871,,,
8400100416,CAMP MCDOWELL,CAMP MCDOWELL,,GENERAL MUSEUM,,105 DELONG RD,NAUVOO,AL,35578,2053871806,34.00155,-87.38654,4,133,1,3,636001873,,,
8400100288,CAPRI COMMUNITY FILM SOCIETY,CAPRI COMMUNITY FILM SOCIETY INC,,GENERAL MUSEUM,,1045 E FAIRVIEW AVE,MONTGOMERY,AL,36106,3342624858,32.35213,-86.29161,1,101,1,3,630841878,201312,419396,419396
8400100305,CENTER FOR CULTURAL ARTS,GADSDEN CULTURAL ARTS FOUNDATION INC,,GENERAL MUSEUM,,PO BOX 1507,GADSDEN,AL,35902,2565432787,34.01391,-86.00513,1,55,1,3,630899081,201312,2714683,1745386
8400100455,CENTRAL CARVER FOUNDATION,CENTRAL-CARVER FOUNDATION INC,,GENERAL MUSEUM,,PO BOX 8563,GADSDEN,AL,35902,2565494742,34.02423,-86.01404,1,55,1,3,861068765,201312,1018,1018
