Museum ID,Museum Name,Legal Name,Alternate Name,Museum Type,Institution Name,Street Address,City,State,Zip Code,Phone Number,Latitude,Longitude,Locale Code (NCES),County Code (FIPS),State Code (FIPS),Region Code (AAM),Employer ID Number,Tax Period,Income,Revenue
8400900224,102ND INFANTRY REGIMENT MUSEUM,102ND INFANTRY REGIMENT MUSEUM INC,,GENERAL MUSEUM,,30 HOOD TERRACE,WEST HAVEN,CT,6516,2037846851,41.2721,-72.96175,2,,9,1,61354580,201312,0,0
8400900106,ACADEMY HALL MUSEUM,ACADEMY HALL MUSEUM,,GENERAL MUSEUM,,785 OLD MAIN STREET,ROCKY HILL,CT,6067,8605636704,41.66576,-72.6386,2,3,9,1,,,,
8409502670,AKUS GALLERY,AKUS GALLERY,,ART MUSEUM,EASTERN CONNECTICUT STATE UNIVERSITY,83 WINDHAM STREET,WILLIMANTIC,CT,6226,8604654659,41.71566,-72.21844,3,15,9,1,61277820,,,
8400900341,ALDRICH CONTEMPORARY ART MUSEUM,THE ALDRICH CONTEMPORARY ART MUSEUM INC,,ART MUSEUM,,258 MAIN ST,RIDGEFIELD,CT,6877,2034384519,41.27647,-73.49768,2,1,9,1,66069965,201312,18497618,739083
8400900486,ALLEGRA FARM HORSE & CARRIAGE,HORSE-DRAWN CARRIAGE AND SLEIGH MUSEUM OF NEW ENGLAND INC,,GENERAL MUSEUM,,PO BOX 455,EAST HADDAM,CT,6423,8605378861,41.55941,-72.32112,3,11,9,1,311613002,201412,0,0
8400900373,AMBLER FARM,FRIENDS OF AMBLER FARM INC,,HISTORY MUSEUM,,PO BOX 7442,WILTON,CT,6897,2038341143,41.2071,-73.41209,2,1,9,1,201660209,201306,386780,348206
8400900297,AMERICAN CLOCK & WATCH MUSEUM,AMERICAN CLOCK & WATCH MUSEUM INC,AMERICAN CLOCK AND WATCH MUSEUM,GENERAL MUSEUM,,100 MAPLE ST,BRISTOL,CT,6010,8605836070,41.67925,-72.94103,2,3,9,1,66006559,201312,480120,236756
8400900471,AMERICAN MURAL PROJECT,AMERICAN MURAL PROJECT INC,,ART MUSEUM,,173 LOW RD,SHARON,CT,6069,8603793006,41.9094,-73.46085,4,5,9,1,263993911,201312,210367,210367
8400900487,AMERICAN MUSEUM OF AVIATION,AMERICAN MUSEUM OF AVIATION INC,,HISTORY MUSEUM,,21 CLEARVIEW DR,STAFFORD SPGS,CT,6076,8602083095,41.95533,-72.27305,3,13,9,1,311627202,201312,20225,17841
8400900491,AMERICAN MUSEUM OF INDUSTRY & TECHNOLOGY,AMERICAN MUSEUM OF INDUSTRY & TECHNOLOGY INC,,HISTORY MUSEUM,,PO BOX 1997,LAKEVILLE,CT,6039,,41.96515,-73.45589,4,5,9,1,311737150,201312,48628,
8400900232,AMERICAN MUSEUM OF MODERN,AMERICAN MUSEUM OF MODERN,,GENERAL MUSEUM,,247 MOUNTAIN RD,ELLINGTON,CT,6029,,41.89658,-72.4548,2,13,9,1,61397012,,,
8400900270,AMERICAN MUSEUM TORT LAW,AMERICAN MUSEUM TORT LAW INC,,HISTORY MUSEUM,,97 MAIN STREET,WINSTED,CT,6098,8607383138,41.92113,-73.06162,3,5,9,1,61529225,201312,83442,83442
8409400041,AMERICAN RADIO RELAY LEAGUE,AMERICAN RADIO RELAY LEAGUE,,GENERAL MUSEUM,,225 MAIN ST.,NEWINGTON,CT,6111,,41.71519,-72.72696,2,3,9,1,,,,
8409400044,AMERICAN SCHOOL FOR THE DEAF MUSEUM & ARCHIVES,AMERICAN SCHOOL FOR THE DEAF MUSEUM & ARCHIVES,,GENERAL MUSEUM,,139 N. MAIN ST.,WEST HARTFORD,CT,6107,,41.77133,-72.74408,1,3,9,1,,,,
8400900200,AMERICAN SILVER MUSEUM,AMERICAN SILVER MUSEUM INC,,GENERAL MUSEUM,,39 W MAIN ST,MERIDEN,CT,6451,2036303737,41.53829,-72.8043,2,9,9,1,61166092,,,
8400900536,ANTIQUE CARRIAGE AND SLEIGH MUSEUM,ANTIQUE CARRIAGE AND SLEIGH MUSEUM INC,,GENERAL MUSEUM,,509 NEW LONDON ROAD,SALEM,CT,6420,,41.45032,-72.23556,2,11,9,1,800685596,,,
8409502728,ART GALLERIES,ART GALLERIES,,ART MUSEUM,CENTRAL CONNECTICUT STATE UNIVERSITY,1615 STANLEY STREET,NEW BRITAIN,CT,6050,8608322633,41.68933,-72.77052,2,3,9,1,61303381,,,
8409502757,ART GALLERY,ART GALLERY,,ART MUSEUM,UNIVERSITY OF CONNECTICUT-TRI-CAMPUS,ONE UNIVERSITY PLACE,STAMFORD,CT,6901,,41.05547,-73.54121,1,1,9,1,60772160,,,
8409502790,ART STUDY GALLERY,UNIVERSITY OF SAINT JOSEPH,,ART MUSEUM,SAINT JOSEPH COLLEGE,1678 ASYLUM AVENUE,WEST HARTFORD,CT,6117,,41.77882,-72.72979,1,3,9,1,60646829,201306,76183269,69197073
8400900387,AVERY-COPP MUSEUM,AVERY-COPP MUSEUM INC,,GENERAL MUSEUM,,154 THAMES ST,GROTON,CT,6340,,41.35917,-72.08393,2,11,9,1,208096779,201312,671012,461649
8409400065,BALLARD INSTITUTE & MUSEUM OF PUPPETRY,BALLARD INSTITUTE & MUSEUM OF PUPPETRY,,GENERAL MUSEUM,,1 ROYCE CIR.,STORRS,CT,6269,,41.8061,-72.24005,4,13,9,1,,,,
8400900105,BARKER CHARACTER COMIC AND CARTOON MUSEUM,BARKER CHARACTER COMIC AND CARTOON MUSEUM,,GENERAL MUSEUM,,1188 HIGHLAND AVE,CHESHIRE,CT,6410,2036993822,41.53147,-72.89473,2,9,9,1,,,,
8400900099,BARNES MUSEUM,BARNES FOUNDATION,,ART MUSEUM,,85 N MAIN ST,SOUTHINGTON,CT,6489,8606285426,39.95966,-75.17227,1,101,42,2,236000149,201312,31510061,17595753
8409502820,BARNES-FRANKLIN ART GALLERY,BARNES-FRANKLIN ART GALLERY,,ART MUSEUM,TUNXIS COMMUNITY COLLEGE,271 SCOTT SWAMP ROAD,FARMINGTON,CT,6032,,41.70654,-72.87878,2,3,9,1,66000798,,,
8400900400,BARNUM MUSEUM,BARNUM MUSEUM FOUNDATION INC,BARNUM MUSEUM FOUNDATION,GENERAL MUSEUM,,820 MAIN ST,BRIDGEPORT,CT,6604,2033311104,41.17641,-73.18855,1,1,9,1,222723433,201312,528071,528071
8409502835,BELLARMINE MUSEUM OF ART,FAIRFIELD UNIVERSITY,,ART MUSEUM,FAIRFIELD UNIVERSITY,1073 NORTH BENSON RD,FAIRFIELD,CT,6824,2032544000,41.15098,-73.25446,2,1,9,1,60646623,201406,313770004,282265235
8400900100,BIRDCRAFT MUSEUM AT FAIRFIELD,BIRDCRAFT MUSEUM AT FAIRFIELD,,GENERAL MUSEUM,,2325 BURR STREET,FAIRFIELD,CT,6824,2032590416,41.14452,-73.25882,2,1,9,1,,,,
8400900182,BLOOMFIELD FARM IMPLEMENT MUSEUM,BLOOMFIELD FARM IMPLEMENT MUSEUM INC,,GENERAL MUSEUM,,434 TUNXIS AVE,BLOOMFIELD,CT,6002,,41.89318,-72.74647,2,3,9,1,61030940,,,
8409501356,BLUE SLOPE COUNTRY MUSEUM,BLUE SLOPE COUNTRY MUSEUM,,GENERAL MUSEUM,,138 BLUE HILL ROAD,FRANKLIN,CT,6254,8603773740,41.58876,-72.17194,4,11,9,1,,,,
8400900255,BRANT FOUNDATION,BRANT FOUNDATION INC,,GENERAL MUSEUM,,80 FIELD POINT RD STE 3RD FL,GREENWICH,CT,6830,2038690611,41.02548,-73.62951,2,1,9,1,61470051,201312,2563305,
8400900263,BRISTOL SPORTS HALL OF FAME & MUSEUM,BRISTOL SPORTS HALL OF FAME & MUSEUM,,GENERAL MUSEUM,,255 DIVINITY ST,BRISTOL,CT,6010,8605892938,41.67043,-72.95873,2,3,9,1,61496823,201406,0,0
8400900432,BRUCE MUSEUM,BRUCE MUSEUM INC,BRUCE MUSEUM INC.,GENERAL MUSEUM,,MUSEUM DRIVE,GREENWICH,CT,6830,2038690376,41.01891,-73.62346,2,1,9,1,237105904,201406,7278065,5467122
8400900103,BRUCE MUSEUM SEASIDE CENTER,BRUCE MUSEUM INC,,GENERAL MUSEUM,,TODS PT,GREENWICH,CT,6830,2038690376,41.01891,-73.62346,2,1,9,1,237105904,201406,7278065,5467122
8400900250,BUDD RAIL DIESEL CAR FOUNDATION,BUDD RAIL DIESEL CAR FOUNDATION INC,,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,40 TALL PINE RD,MILFORD,CT,6461,,41.25991,-73.05874,1,9,9,1,61442652,201310,20000,
8400900096,CANTON CLAY WORKS,CANTON CLAY WORKS,,GENERAL MUSEUM,,150 CHERRY BROOK RD,CANTON,CT,6019,8606931000,41.84914,-72.92114,2,3,9,1,,,,
8409500305,CAPT. ALAN L. BEAN HYPOSPHERIUM,CAPT. ALAN L. BEAN HYPOSPHERIUM,,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,324 MONTEVIDEO ROAD,AVON,CT,6001,,41.81669,-72.79963,4,3,9,1,,,,
8400900081,CENTER FOR CONTEMPORARY PRINTMAKING,CENTER FOR CONTEMPORARY PRINTMAKING INC,,GENERAL MUSEUM,,299 WEST AVE,NORWALK,CT,6850,2038997999,41.10954,-73.41816,1,1,9,1,61400371,201312,791156,675644
8400900083,CHARLES IVES BIRTHPLACE MUSEUM,CHARLES IVES BIRTHPLACE MUSEUM,,GENERAL MUSEUM,,5 MOUNTAINVILLE AVE,DANBURY,CT,6810,2037783540,41.38384,-73.44527,1,1,9,1,,,,
8400900150,CHILDREN'S MUSEUM,CHILDRENS MUSEUM INC,CHILDREN'S MUSEUM,NATURAL HISTORY MUSEUM,,950 TROUT BROOK DR,WEST HARTFORD,CT,6119,,41.76198,-72.73786,1,3,9,1,60896043,201406,2285324,1656405
8400900363,CHILDREN'S MUSEUM OF SOUTHEASTERN CONNECTICUT,CHILDRENS MUSEUM OF SOUTHEASTERN CONNECTICUT INC,CHILDREN'S MUSEUM OF SOUTHEASTERN CONNECTICUT,CHILDREN'S MUSEUM,,409 MAIN ST,NIANTIC,CT,6357,8606911111,41.32219,-72.20041,2,11,9,1,112113076,201309,287679,281389
8400900499,CONFEDERATION OF UNION GENERALS,CONFEDERATION OF UNION GENERALS INC,,NATURAL HISTORY MUSEUM,,71 LONG HILL CROSS ROAD,SHELTON,CT,6484,,41.28361,-73.11311,2,1,9,1,371658807,201312,0,0
8400900447,CONNECTCUT ANTIQUE FIRE APPARATUS COLLECTORS,CONNECTICUT ANTIQUE FIRE APPARATUS ASSOC INC,CONNECTCUT ANTIQUE FIRE APPARATUS A,GENERAL MUSEUM,,PO BOX 297,EAST WINDSOR,CT,6088,8606276540,41.9321,-72.59468,2,3,9,1,237295196,201412,0,0
8400900485,CONNECTICUT AEROSPACE HALL OF FAME AND MUSEUM,CONNECTICUT AEROSPACE HALL OF FAME AND MUSEUM INC,,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,PO BOX 1293,STRATFORD,CT,6615,2033753332,41.1986,-73.12176,1,1,9,1,311604748,201406,17469,14133
8400900095,CONNECTICUT AIR AND SPACE CENTER,CONNECTICUT AEROSPACE HALL OF FAME AND MUSEUM INC,,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,550 MAIN ST,STRATFORD,CT,6615,2033801400,41.1986,-73.12176,1,1,9,1,311604748,201406,17469,14133
8400900195,CONNECTICUT ANTIQUE MACHINERY ASSOCIATION,CONNECTICUT ANTIQUE MACHINERY ASSOCIATION INC,,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,PO BOX 1467,NEW MILFORD,CT,6776,8609270050,41.58298,-73.4121,2,,9,1,61090238,201403,138992,136410
8400900524,CONNECTICUT BOXING HALL OF FAME,CONNECTICUT BOXING HALL OF FAME INC,,GENERAL MUSEUM,,123 CARRIAGE DR,AVON,CT,6001,,41.64423,-72.67876,2,3,9,1,542179245,201412,44936,13383
8400900450,CONNECTICUT CHILDREN'S MUSEUM,CONNECTICUT CHILDRENS MUSEUM,CONNECTICUT CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,,22 WALL ST,NEW HAVEN,CT,6511,2035625437,41.30845,-72.9211,1,9,9,1,237346410,201308,799710,799710
