Date,Avg CO,Avg CO AQI,Avg NO2,Avg NO2 AQI,Avg O3,Avg O3 AQI,Avg SO2,Avg SO2 AQI
2001-04-01,0.068421,1,17.416667,22,0.028958,25,9.695652,27
2001-04-02,0.195833,6,24.863636,41,0.02225,25,9.041667,24
2001-04-03,0.166667,5,28.958333,44,0.019167,29,7.875,24
2001-04-04,0.258333,5,33.4,46,0.01675,24,14.136364,44
2001-04-05,0.25,6,36.291667,56,0.0175,32,10.416667,30
2001-04-06,0.65,13,45.181818,72,0.018167,36,16.375,62
2001-04-07,0.058333,2,16.791667,24,0.032125,34,5.782609,13
2001-04-08,0.091667,2,21.363636,29,0.022167,26,5.791667,11
2001-04-09,0.175,2,27.583333,32,0.018875,23,7.25,14
2001-04-10,0.091667,2,22.590909,33,0.017792,24,8.434783,20
2001-04-11,0.142857,3,25.875,36,0.021667,23,6.208333,17
2001-04-12,0.226667,5,29.958333,40,0.011375,16,2.75,13
2001-04-13,0.254167,6,25.125,34,0.017917,25,4.208333,17
2001-04-14,0.033333,1,14.5,21,0.039,39,1.75,4
2001-04-15,0.05,3,20.208333,54,0.03,39,2.958333,10
2001-04-16,0.15,3,22.916667,34,0.018,26,4.5,16
2001-04-17,0.216667,3,28.5,42,0.021625,26,4.75,19
2001-04-18,0.016667,1,21.375,31,0.028167,29,3.083333,10
2001-04-19,0.135294,5,32.136364,47,0.017083,29,5.181818,17
2001-04-20,0.404167,6,34,44,0.026625,30,8,24
2001-04-21,0.341667,5,22.666667,32,0.040042,42,5.958333,17
2001-04-22,0.229167,5,13.863636,26,0.038083,44,3.625,7
2001-04-23,0.3,6,20.75,40,0.027375,29,4.304348,11
2001-04-24,0.2875,5,20.55,31,0.033125,40,4.043478,10
2001-04-25,0.195833,7,25,46,0.022083,27,4.458333,14
2001-04-26,0.258333,7,26.136364,46,0.026333,31,5.173913,14
2001-04-27,0.316667,10,29.958333,60,0.016417,25,6.5,20
2001-04-28,0.295833,11,17.818182,46,0.033833,35,3.708333,13
2001-04-29,0.070833,3,18.5,39,0.027875,37,3.652174,10
2001-04-30,0.345833,10,38.5,55,0.018167,29,5.166667,14
2001-05-01,0.641667,11,43.25,72,0.022958,35,7.708333,24
2001-05-02,0.370833,7,45.272727,64,0.02675,45,5.782609,14
2001-05-03,0.390476,6,40.833333,61,0.0425,50,4.666667,11
2001-05-04,0.3375,6,36,56,0.0435,44,4.958333,11
2001-05-05,0.141667,6,13.958333,21,0.029333,33,3.391304,9
2001-05-06,0.008333,1,12.818182,37,0.025708,32,3.958333,16
2001-05-07,0.2125,3,26.958333,41,0.022292,25,5.208333,19
2001-05-08,0.0875,2,21.2,29,0.026792,31,3.590909,9
2001-05-09,0.166667,3,22.583333,31,0.022333,28,4.958333,13
2001-05-10,0.270833,7,35.857143,61,0.022417,36,6.041667,17
2001-05-11,0.270833,7,33.916667,44,0.043625,46,4.73913,9
2001-05-12,0.225,3,26,38,0.040208,74,5.208333,11
2001-05-13,0.0125,1,11,25,0.024458,25,3.125,17
2001-05-14,0,0,18.545455,31,0.028458,27,3.521739,9
2001-05-15,0.029167,1,17.875,27,0.022,24,4.333333,19
2001-05-16,0,0,21.590909,28,0.021708,24,4.25,14
2001-05-17,0.129167,2,24.333333,30,0.016125,20,5.3,11
2001-05-18,0.176471,5,22.727273,29,0.020917,27,5.684211,11
2001-05-19,0.2375,3,14.625,20,0.030417,31,4.458333,9
2001-05-20,0.133333,3,11.5,22,0.031083,35,4.913043,11
2001-05-21,0.233333,3,16.791667,26,0.023708,25,5.666667,21
2001-05-22,0.216667,5,22.95,31,0.015125,21,5.086957,9
2001-05-23,0.216667,3,23.125,33,0.017792,20,4.782609,10
2001-05-24,0.216667,3,23.272727,32,0.015875,18,5.416667,11
2001-05-25,0.208333,3,23.666667,30,0.019708,21,10.166667,34
2001-05-26,0.216667,5,15.590909,30,0.0265,28,4.826087,10
2001-05-27,0.208333,3,19.125,25,0.01525,20,5.083333,11
2001-05-28,0.3,6,18.272727,34,0.024708,35,4.583333,9
2001-05-29,0.3625,7,24.25,37,0.023583,27,4.869565,10
2001-05-30,0.141667,3,16.227273,23,0.019292,19,4.541667,10
2001-05-31,0.066667,1,16.166667,25,0.018083,21,5.041667,14
2001-06-01,0.208333,5,22.545455,27,0.023542,30,7.130435,27
2001-06-02,0.329167,7,18.791667,35,0.024833,31,4.666667,10
2001-06-03,0.25,7,19.545455,26,0.013625,17,6.916667,16
2001-06-04,0.275,7,18.875,27,0.019292,22,4.652174,10
2001-06-05,0.166667,2,19.25,28,0.017,21,4.652174,9
2001-06-06,0.125,2,20.25,35,0.015417,19,5.105263,13
2001-06-07,0.145833,3,22.545455,34,0.017375,24,6.391304,26
2001-06-08,0.291667,8,33.666667,61,0.021,34,5.916667,14
2001-06-09,0.208333,7,24.136364,35,0.017958,28,5.958333,21
2001-06-10,0.154167,6,22.583333,46,0.021708,34,5.782609,14
2001-06-11,0.491667,7,35.227273,46,0.026625,40,6.625,14
2001-06-12,0.216667,3,24.916667,39,0.026958,30,5.5,16
2001-06-13,0.266667,7,32.181818,50,0.03225,42,6.086957,14
2001-06-14,0.491667,8,26.333333,36,0.03975,71,6.916667,27
2001-06-15,0.495833,7,21.681818,30,0.034417,54,5.125,10
2001-06-16,0.3375,6,12,15,0.017292,26,4.434783,9
2001-06-17,0.366667,6,12.818182,22,0.014458,14,5.208333,14
2001-06-18,0.283333,5,22.416667,39,0.022708,31,5.5,14
2001-06-19,0.3875,5,24.05,33,0.054333,111,6.409091,10
2001-06-20,0.370833,6,27.041667,37,0.048208,109,9.041667,36
2001-06-21,0.220833,5,21.227273,32,0.021667,24,8.291667,23
2001-06-22,0.275,5,19.25,31,0.018458,21,5.086957,10
